,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,github_release_downloads,trending,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,Webpack,webpack/webpack,webpack,dev-tools,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2021-02-24 20:20:19.198,2021-02-24 20:20:01.000,7512,326.0,7795.0,57554,13158.0,2021-02-24 20:23:23.000,5.24.2,717.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,7805469.0,6517805.0,733.0,43,https://www.npmjs.com/package/webpack,2021-02-24 20:20:19.198,1287664.0,67080747.0,67080747.0,True,1,,,,,,,,,
1,Material-UI,mui-org/material-ui,@material-ui/core,ui-frameworks,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2021-02-25 17:52:27.000,2021-02-25 14:35:59.000,20528,490.0,12115.0,65500,12019.0,2021-01-24 12:54:25.000,4.11.3,136.0,"Material-UI is a simple and customizable component library to build faster, beautiful, and more accessible React..",30025.0,513.0,2342.0,41,https://www.npmjs.com/package/@material-ui/core,2021-01-26 14:08:46.925,29512.0,7639458.0,7639458.0,True,1,['material-ui'],,,,,,,,
2,Gatsby,gatsbyjs/gatsby,gatsby,cms-frameworks,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2021-02-25 18:15:08.000,2021-02-25 16:34:53.000,9301,597.0,11749.0,49157,17919.0,2021-02-25 11:15:03.612,2.32.7,2073.0,"Build blazing fast, modern apps and websites with React.",333961.0,309601.0,3934.0,40,https://www.npmjs.com/package/gatsby,2021-02-25 11:04:30.724,24360.0,2059306.0,2059306.0,True,1,,https://www.gatsbyjs.com/showcase/,,,,,,,
3,Next.js,vercel/next.js,next,cms-frameworks,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2021-02-25 18:11:38.000,2021-02-25 17:16:10.000,11210,878.0,7844.0,63073,7833.0,2021-02-15 20:46:32.781,10.0.7,1077.0,The React Framework.,15586.0,154.0,1559.0,39,https://www.npmjs.com/package/next,2021-02-25 15:46:29.329,15432.0,5339871.0,5339871.0,True,3,,https://nextjs.org/showcase,,,,,,,
4,Storybook,storybookjs/storybook,@storybook/react,dev-tools,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2021-02-25 16:15:09.000,2021-02-25 16:15:08.000,5843,1011.0,6123.0,58787,31590.0,2021-02-24 04:52:35.000,6.1.20,745.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",22923.0,8345.0,1434.0,39,https://www.npmjs.com/package/@storybook/react,2021-02-25 03:31:09.685,14578.0,8844467.0,8844467.0,True,2,,,,,,,,,
5,Styled Components,styled-components/styled-components,styled-components,styling,https://github.com/styled-components/styled-components,https://github.com/styled-components/styled-components,MIT,2016-08-16 06:41:32.000,2021-02-23 21:30:43.000,2020-12-08 14:53:16.000,1887,199.0,2106.0,32725,3183.0,2020-10-30 15:03:45.000,5.2.1,284.0,Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress.,615664.0,561352.0,309.0,39,https://www.npmjs.com/package/styled-components,2020-10-30 15:02:45.733,54312.0,10868959.0,10868959.0,True,1,,,,,,,,,
6,Bootstrap React,react-bootstrap/react-bootstrap,react-bootstrap,ui-frameworks,https://github.com/react-bootstrap/react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,MIT,2013-12-27 19:06:07.000,2021-02-25 15:51:03.000,2021-02-22 17:41:39.000,3046,129.0,2839.0,19026,3958.0,2021-02-16 20:38:17.000,1.5.0,160.0,Bootstrap components built with React.,455491.0,396649.0,424.0,39,https://www.npmjs.com/package/react-bootstrap,2021-02-16 20:28:47.942,58842.0,3541589.0,3542224.0,True,2,"['bootstrap""']",,50211.0,,,,,,
7,Ant Design,ant-design/ant-design,antd,ui-frameworks,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2021-02-25 13:53:47.000,2021-02-25 12:02:16.000,26753,594.0,19848.0,3864,20420.0,2021-02-10 15:51:04.000,4.12.3,578.0,A UI Design Language and React UI library.,222075.0,194873.0,1547.0,39,https://www.npmjs.com/package/antd,2021-02-10 15:50:05.111,27202.0,2419470.0,2419471.0,True,2,['ant-design'],,16.0,,,,,,
8,Tailewind CSS,tailwindlabs/tailwindcss,tailwindcss,styling,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14.000,2021-02-19 23:06:12.000,2021-02-19 23:01:44.000,1689,37.0,1226.0,37285,3622.0,2021-02-07 20:36:48.000,2.0.3,147.0,A utility-first CSS framework for rapid UI development.,155177.0,149789.0,170.0,37,https://www.npmjs.com/package/tailwindcss,2020-12-11 14:09:43.798,5388.0,2766881.0,2766881.0,True,3,,,,,,,,,
9,Semantic UI React,Semantic-Org/Semantic-UI-React,semantic-ui-react,ui-frameworks,https://github.com/Semantic-Org/Semantic-UI-React,https://github.com/Semantic-Org/Semantic-UI-React,MIT,2015-06-19 16:47:19.000,2021-02-24 16:50:56.000,2021-01-25 15:14:50.000,3531,118.0,2243.0,12086,3064.0,2021-01-25 15:14:00.000,2.0.3,148.0,The official Semantic-UI-React integration.,124976.0,108046.0,307.0,37,https://www.npmjs.com/package/semantic-ui-react,2021-01-20 19:57:11.349,16930.0,932025.0,932025.0,True,2,,https://react.semantic-ui.com/elements/button/,,,,,,,
