,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,trending,github_release_downloads,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,Webpack,webpack/webpack,webpack,dev-tools,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2021-03-25 15:47:40.000,2021-03-24 12:35:24.000,7512,326.0,7894.0,57798,13320.0,2021-03-24 12:36:12.000,5.28.0,729.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,7943021.0,6655357.0,743.0,43,https://www.npmjs.com/package/webpack,2021-03-24 12:35:58.696,1287664.0,70482813.0,70482813.0,True,1,,,,,,,,,
1,Material-UI,mui-org/material-ui,@material-ui/core,ui-frameworks,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2021-03-25 16:25:08.000,2021-03-25 14:20:06.000,21067,489.0,12244.0,66283,12023.0,2021-01-24 12:54:25.000,4.11.3,139.0,"Material-UI is a simple and customizable component library to build faster, beautiful, and more accessible React..",30040.0,528.0,2366.0,41,https://www.npmjs.com/package/@material-ui/core,2021-03-05 13:01:20.941,29512.0,8211631.0,8211631.0,True,1,['material-ui'],,,,,,,,
2,Gatsby,gatsbyjs/gatsby,gatsby,cms-frameworks,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2021-03-25 18:13:14.000,2021-03-25 16:32:33.000,9399,603.0,11940.0,49571,18109.0,2021-03-23 18:52:24.626,3.1.2,2112.0,"Build blazing fast, modern apps and websites with React.",344538.0,320178.0,3957.0,40,https://www.npmjs.com/package/gatsby,2021-03-19 12:29:16.188,24360.0,2221983.0,2221983.0,True,1,,https://www.gatsbyjs.com/showcase/,1.0,,,,,,
3,Next.js,vercel/next.js,next,cms-frameworks,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2021-03-25 16:36:13.000,2021-03-25 14:40:05.000,11690,967.0,8013.0,64771,7917.0,2021-03-15 19:22:08.000,10.0.9,1107.0,The React Framework.,15606.0,174.0,1596.0,39,https://www.npmjs.com/package/next,2021-03-24 20:59:45.246,15432.0,5879174.0,5879174.0,True,3,,https://nextjs.org/showcase,,,,,,,
4,Storybook,storybookjs/storybook,@storybook/react,dev-tools,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2021-03-25 15:51:00.000,2021-03-25 09:01:43.000,5914,1042.0,6234.0,59561,31621.0,2021-03-03 11:45:37.000,6.1.21,766.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",23635.0,9057.0,1452.0,39,https://www.npmjs.com/package/@storybook/react,2021-03-23 02:13:37.565,14578.0,8986207.0,8986207.0,True,2,,,,,,,,,
5,Styled Components,styled-components/styled-components,styled-components,styling,https://github.com/styled-components/styled-components,https://github.com/styled-components/styled-components,MIT,2016-08-16 06:41:32.000,2021-03-22 19:16:13.000,2021-03-10 18:33:41.000,1987,231.0,2113.0,33046,3193.0,2020-10-30 15:03:45.000,5.2.1,284.0,Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress.,645482.0,591170.0,310.0,39,https://www.npmjs.com/package/styled-components,2020-10-30 15:02:45.733,54312.0,11586343.0,11586343.0,True,1,,,,,,,,,
6,Bootstrap React,react-bootstrap/react-bootstrap,react-bootstrap,ui-frameworks,https://github.com/react-bootstrap/react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,MIT,2013-12-27 19:06:07.000,2021-03-25 16:51:42.000,2021-03-17 18:09:25.000,3064,124.0,2862.0,19161,3968.0,2021-03-11 18:36:27.000,1.5.2,162.0,Bootstrap components built with React.,475168.0,416326.0,425.0,39,https://www.npmjs.com/package/react-bootstrap,2021-03-11 18:26:21.036,58842.0,3905320.0,3905948.0,True,2,"['bootstrap""']",,,50245.0,,,,,
7,Ant Design,ant-design/ant-design,antd,ui-frameworks,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2021-03-25 07:01:14.000,2021-03-25 07:01:13.000,27103,614.0,20069.0,5108,20550.0,2021-03-22 11:47:09.000,4.14.1,581.0,A UI Design Language and React UI library.,229121.0,201919.0,1568.0,39,https://www.npmjs.com/package/antd,2021-03-14 14:11:21.930,27202.0,2663917.0,2663918.0,True,2,['ant-design'],,,16.0,,,,,
8,Tailewind CSS,tailwindlabs/tailwindcss,tailwindcss,styling,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14.000,2021-03-22 12:03:22.000,2021-03-22 02:45:21.000,1759,49.0,1259.0,38751,3633.0,2021-03-17 21:51:49.000,2.0.4,149.0,A utility-first CSS framework for rapid UI development.,173674.0,168286.0,171.0,37,https://www.npmjs.com/package/tailwindcss,2021-03-17 21:44:57.049,5388.0,3018873.0,3018873.0,True,3,,,,,,,,,
9,Semantic UI React,Semantic-Org/Semantic-UI-React,semantic-ui-react,ui-frameworks,https://github.com/Semantic-Org/Semantic-UI-React,https://github.com/Semantic-Org/Semantic-UI-React,MIT,2015-06-19 16:47:19.000,2021-03-23 18:02:21.000,2021-01-25 15:14:50.000,3551,128.0,2248.0,12153,3064.0,2021-01-25 15:14:00.000,2.0.3,148.0,The official Semantic-UI-React integration.,127793.0,110863.0,307.0,37,https://www.npmjs.com/package/semantic-ui-react,2021-01-20 19:57:11.349,16930.0,966555.0,966555.0,True,2,,https://react.semantic-ui.com/elements/button/,,,,,,,
10,Slate,ianstormtaylor/slate,slate,editors,https://github.com/ianstormtaylor/slate,https://github.com/ianstormtaylor/slate,MIT,2016-06-18 01:52:42.000,2021-03-25 15:59:13.000,2021-03-25 05:42:54.000,2206,471.0,2128.0,20123,3226.0,2021-03-20 20:14:44.462,0.60.9,418.0,A completely customizable framework for building rich text editors. (Currently in beta.).,63112.0,56114.0,365.0,36,https://www.npmjs.com/package/slate,2021-03-20 20:14:44.462,6998.0,982982.0,982982.0,True,1,,https://www.slatejs.org/examples/richtext,,,,,,,
11,Draft JS,facebook/draft-js,draft-js,editors,https://github.com/facebook/draft-js,https://github.com/facebook/draft-js,MIT,2016-02-19 20:18:26.000,2021-03-22 16:39:20.000,2021-03-22 16:39:11.000,2322,816.0,944.0,19989,1100.0,2020-08-17 16:40:16.000,0.11.7,32.0,A React framework for building text editors.,103604.0,85186.0,305.0,36,https://www.npmjs.com/package/draft-js,2020-08-17 16:36:23.849,18418.0,2896695.0,2896695.0,True,1,,,,,,,,,
