,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,trending,demo_url,github_release_downloads,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,Webpack,webpack/webpack,webpack,dev-tools,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2021-04-01 16:14:23.000,2021-04-01 16:14:16.000,7512,326.0,7913.0,57848,13343.0,2021-04-01 15:39:50.000,5.29.0,729.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,7976510.0,6688846.0,745.0,43,https://www.npmjs.com/package/webpack,2021-03-24 12:35:58.696,1287664.0,71201348.0,71201348.0,True,1,,,,,,,,,
1,Material-UI,mui-org/material-ui,@material-ui/core,ui-frameworks,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2021-04-01 14:13:28.000,2021-04-01 13:40:06.000,21067,489.0,12285.0,67193,12025.0,2021-01-24 12:54:25.000,4.11.3,139.0,"Material-UI is a simple and customizable component library to build faster, beautiful, and more accessible React..",30045.0,533.0,2378.0,41,https://www.npmjs.com/package/@material-ui/core,2021-03-05 13:01:20.941,29512.0,8268297.0,8268297.0,True,1,['material-ui'],,,,,,,,
2,Storybook,storybookjs/storybook,@storybook/react,dev-tools,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2021-04-01 14:33:08.000,2021-04-01 14:33:07.000,5914,1042.0,6264.0,60038,33343.0,2021-03-31 04:17:33.000,6.2.1,772.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",23805.0,9227.0,1455.0,40,https://www.npmjs.com/package/@storybook/react,2021-03-30 16:06:46.354,14578.0,9038038.0,9038038.0,True,2,,1.0,,,,,,,
3,Gatsby,gatsbyjs/gatsby,gatsby,cms-frameworks,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2021-04-01 17:55:10.000,2021-04-01 16:18:18.000,9399,603.0,11976.0,49655,18138.0,2021-03-30 17:32:01.000,gatsby@3.2.0,2118.0,"Build blazing fast, modern apps and websites with React.",346901.0,322541.0,3959.0,40,https://www.npmjs.com/package/gatsby,2021-03-30 16:11:33.676,24360.0,2215438.0,2215438.0,True,1,,,https://www.gatsbyjs.com/showcase/,,,,,,
4,Next.js,vercel/next.js,next,cms-frameworks,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2021-04-01 17:24:57.000,2021-04-01 16:48:49.000,11753,995.0,8054.0,65137,7917.0,2021-03-30 08:40:37.247,10.1.2,1116.0,The React Framework.,15609.0,177.0,1601.0,39,https://www.npmjs.com/package/next,2021-03-31 09:48:05.931,15432.0,5981443.0,5981443.0,True,3,,,https://nextjs.org/showcase,,,,,,
5,Styled Components,styled-components/styled-components,styled-components,styling,https://github.com/styled-components/styled-components,https://github.com/styled-components/styled-components,MIT,2016-08-16 06:41:32.000,2021-03-31 14:17:43.000,2021-03-31 14:17:41.000,2016,231.0,2115.0,33134,3208.0,2021-03-31 14:16:12.000,5.2.3,285.0,Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress.,653305.0,598993.0,311.0,39,https://www.npmjs.com/package/styled-components,2021-03-30 15:40:59.368,54312.0,11743274.0,11743274.0,True,1,,,,,,,,,
6,Bootstrap React,react-bootstrap/react-bootstrap,react-bootstrap,ui-frameworks,https://github.com/react-bootstrap/react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,MIT,2013-12-27 19:06:07.000,2021-04-01 15:53:49.000,2021-03-17 18:09:25.000,3064,124.0,2868.0,19194,3968.0,2021-03-11 18:36:27.000,1.5.2,162.0,Bootstrap components built with React.,480372.0,421530.0,425.0,39,https://www.npmjs.com/package/react-bootstrap,2021-03-11 18:26:21.036,58842.0,3908025.0,3908645.0,True,2,"['bootstrap""']",,,50252.0,,,,,
7,Ant Design,ant-design/ant-design,antd,ui-frameworks,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2021-04-01 14:15:57.000,2021-04-01 03:33:13.000,27284,614.0,20124.0,5371,20575.0,2021-03-29 08:49:51.000,4.15.0,583.0,A UI Design Language and React UI library.,230947.0,203745.0,1576.0,39,https://www.npmjs.com/package/antd,2021-03-29 08:22:20.154,27202.0,2702884.0,2702885.0,True,2,['ant-design'],,,16.0,,,,,
8,Tailewind CSS,tailwindlabs/tailwindcss,tailwindcss,styling,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14.000,2021-03-31 19:46:40.000,2021-03-31 18:34:49.000,1781,55.0,1269.0,39072,3639.0,2021-03-17 21:51:49.000,2.0.4,149.0,A utility-first CSS framework for rapid UI development.,178471.0,173083.0,172.0,37,https://www.npmjs.com/package/tailwindcss,2021-03-17 21:44:57.049,5388.0,3064136.0,3064136.0,True,3,,,,,,,,,
9,Semantic UI React,Semantic-Org/Semantic-UI-React,semantic-ui-react,ui-frameworks,https://github.com/Semantic-Org/Semantic-UI-React,https://github.com/Semantic-Org/Semantic-UI-React,MIT,2015-06-19 16:47:19.000,2021-03-23 18:02:21.000,2021-01-25 15:14:50.000,3551,128.0,2248.0,12167,3064.0,2021-01-25 15:14:00.000,2.0.3,148.0,The official Semantic-UI-React integration.,128478.0,111548.0,307.0,37,https://www.npmjs.com/package/semantic-ui-react,2021-01-20 19:57:11.349,16930.0,963946.0,963946.0,True,2,,,https://react.semantic-ui.com/elements/button/,,,,,,
