,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,github_release_downloads,trending,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,Webpack,webpack/webpack,webpack,dev-tools,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2021-05-13 09:47:20.000,2021-05-13 09:47:04.000,7677,285.0,7992.0,58205,13703.0,2021-05-10 16:22:05.000,5.37.0,745.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,8172163.0,6884499.0,754.0,43,https://www.npmjs.com/package/webpack,2021-05-10 16:21:42.076,1287664.0,70439282.0,70439282.0,True,1,,,,,,,,,,
1,Material-UI,mui-org/material-ui,@material-ui/core,ui-frameworks,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2021-05-13 11:58:48.000,2021-05-13 10:00:04.000,21834,473.0,12533.0,68193,12038.0,2021-04-27 15:53:12.000,4.11.4,146.0,"Material-UI is a simple and customizable component library to build faster, beautiful, and more accessible React..",30075.0,563.0,2421.0,41,https://www.npmjs.com/package/@material-ui/core,2021-05-09 12:28:32.873,29512.0,8660444.0,8660444.0,True,1,['material-ui'],,,,,,,,,
2,Storybook,storybookjs/storybook,@storybook/react,dev-tools,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2021-05-13 18:05:59.000,2021-05-13 14:08:40.000,6121,1167.0,6417.0,61732,33470.0,2021-04-23 03:46:10.000,6.2.9,807.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",24888.0,10310.0,1500.0,40,https://www.npmjs.com/package/@storybook/react,2021-05-13 04:59:36.061,14578.0,9157110.0,9157110.0,True,2,,,,,,,,,,
3,Gatsby,gatsbyjs/gatsby,gatsby,cms-frameworks,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2021-05-13 18:23:27.000,2021-05-13 10:00:24.000,9509,563.0,12294.0,50223,18397.0,2021-05-11 19:41:05.000,gatsby@3.5.0,2167.0,"Build blazing fast, modern apps and websites with React.",360242.0,335882.0,4004.0,40,https://www.npmjs.com/package/gatsby,2021-05-12 09:14:39.860,24360.0,2041710.0,2041710.0,True,1,,https://www.gatsbyjs.com/showcase/,,,,,,,,
4,Next.js,vercel/next.js,next,cms-frameworks,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2021-05-13 18:32:46.000,2021-05-13 18:32:46.000,12461,979.0,8459.0,66891,7917.0,2021-04-28 14:41:25.000,10.2.0,1145.0,The React Framework.,15628.0,196.0,1654.0,39,https://www.npmjs.com/package/next,2021-05-13 14:40:17.080,15432.0,6175228.0,6175228.0,True,3,,https://nextjs.org/showcase,,,,,,,,
5,Bootstrap React,react-bootstrap/react-bootstrap,react-bootstrap,ui-frameworks,https://github.com/react-bootstrap/react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,MIT,2013-12-27 19:06:07.000,2021-05-13 16:06:27.000,2021-05-11 00:12:49.000,3088,148.0,2886.0,19376,3990.0,2021-05-11 00:15:14.000,1.6.0,165.0,Bootstrap components built with React.,514518.0,455676.0,429.0,39,https://www.npmjs.com/package/react-bootstrap,2021-04-13 05:20:19.505,58842.0,3902756.0,3903369.0,True,2,"['bootstrap""']",,50289.0,,,,,,,
6,Ant Design,ant-design/ant-design,antd,ui-frameworks,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2021-05-13 15:15:44.000,2021-05-13 15:15:43.000,27791,639.0,20402.0,6652,20690.0,2021-05-10 15:51:39.000,4.15.5,592.0,A UI Design Language and React UI library.,241607.0,214405.0,1602.0,39,https://www.npmjs.com/package/antd,2021-05-08 15:28:01.775,27202.0,3076650.0,3076650.0,True,2,['ant-design'],,,,,,,,,
7,Tailewind CSS,tailwindlabs/tailwindcss,tailwindcss,styling,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14.000,2021-05-13 16:55:11.000,2021-05-13 16:06:50.000,1890,85.0,1384.0,41530,3876.0,2021-04-23 18:29:58.000,2.1.2,160.0,A utility-first CSS framework for rapid UI development.,208865.0,203477.0,183.0,38,https://www.npmjs.com/package/tailwindcss,2021-05-07 18:52:01.287,5388.0,3478609.0,3478609.0,True,1,,,,1.0,,,,,,
8,Semantic UI React,Semantic-Org/Semantic-UI-React,semantic-ui-react,ui-frameworks,https://github.com/Semantic-Org/Semantic-UI-React,https://github.com/Semantic-Org/Semantic-UI-React,MIT,2015-06-19 16:47:19.000,2021-05-08 16:47:02.000,2021-01-25 15:14:50.000,3620,145.0,2256.0,12244,3064.0,2021-01-25 15:14:00.000,2.0.3,148.0,The official Semantic-UI-React integration.,132651.0,115721.0,307.0,37,https://www.npmjs.com/package/semantic-ui-react,2021-01-20 19:57:11.349,16930.0,938933.0,938933.0,True,2,,https://react.semantic-ui.com/elements/button/,,,,,,,,
9,Styled Components,styled-components/styled-components,styled-components,styling,https://github.com/styled-components/styled-components,https://github.com/styled-components/styled-components,MIT,2016-08-16 06:41:32.000,2021-05-12 13:46:43.000,2021-05-12 13:46:41.000,2039,249.0,2121.0,33565,,2021-05-05 02:17:54.000,5.3.0,287.0,Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress.,695438.0,641126.0,312.0,36,https://www.npmjs.com/package/styled-components,2021-05-05 02:17:02.605,54312.0,12161262.0,12161262.0,True,3,,,,,,,,,,
