,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,trending,demo_url,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,Webpack,webpack/webpack,webpack,dev-tools,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2021-05-20 16:24:44.000,2021-05-20 13:54:27.000,7677,285.0,8022.0,58252,13753.0,2021-05-19 06:54:44.000,5.37.1,746.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,8205659.0,6917995.0,757.0,43,https://www.npmjs.com/package/webpack,2021-05-19 06:50:56.679,1287664.0,69789216.0,69789216.0,True,1,,,,,,,,,,
1,Ant Design,ant-design/ant-design,antd,ui-frameworks,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2021-05-20 13:36:54.000,2021-05-20 13:36:53.000,27918,646.0,20461.0,71366,20705.0,2021-05-18 04:01:50.000,4.15.6,593.0,A UI Design Language and React UI library.,243373.0,216171.0,1604.0,41,https://www.npmjs.com/package/antd,2021-05-08 15:28:01.775,27202.0,3044544.0,3044544.0,True,1,['ant-design'],2.0,,,,,,,,
2,Material-UI,mui-org/material-ui,@material-ui/core,ui-frameworks,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2021-05-20 17:48:12.000,2021-05-20 15:18:55.000,21929,488.0,12565.0,68352,12040.0,2021-04-27 15:53:12.000,4.11.4,147.0,"Material-UI is a simple and customizable component library to build faster, beautiful, and more accessible React..",30081.0,569.0,2425.0,41,https://www.npmjs.com/package/@material-ui/core,2021-05-18 10:44:30.420,29512.0,8757752.0,8757752.0,True,1,['material-ui'],,,,,,,,,
3,Gatsby,gatsbyjs/gatsby,gatsby,cms-frameworks,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2021-05-20 18:31:45.000,2021-05-20 15:28:41.000,9554,493.0,12326.0,50284,18428.0,2021-05-19 12:52:31.962,3.5.1,2174.0,"Build blazing fast, modern apps and websites with React.",362478.0,338118.0,4006.0,41,https://www.npmjs.com/package/gatsby,2021-05-19 22:33:17.335,24360.0,1999322.0,1999322.0,True,1,,1.0,https://www.gatsbyjs.com/showcase/,,,,,,,
4,Next.js,vercel/next.js,next,cms-frameworks,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2021-05-20 18:11:43.000,2021-05-20 12:39:56.000,12582,989.0,8495.0,67718,8325.0,2021-05-20 01:55:39.000,10.2.2,1155.0,The React Framework.,15629.0,197.0,1666.0,40,https://www.npmjs.com/package/next,2021-05-20 01:40:11.465,15432.0,6183588.0,6183588.0,True,3,,1.0,https://nextjs.org/showcase,,,,,,,
5,Storybook,storybookjs/storybook,@storybook/react,dev-tools,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2021-05-20 13:56:00.000,2021-05-20 13:06:52.000,6138,1177.0,6438.0,61909,33470.0,2021-04-23 03:46:10.000,6.2.9,817.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",25078.0,10500.0,1502.0,40,https://www.npmjs.com/package/@storybook/react,2021-05-20 13:29:50.158,14578.0,9141463.0,9141463.0,True,2,,,,,,,,,,
6,Bootstrap React,react-bootstrap/react-bootstrap,react-bootstrap,ui-frameworks,https://github.com/react-bootstrap/react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,MIT,2013-12-27 19:06:07.000,2021-05-20 16:03:57.000,2021-05-11 00:12:49.000,3088,148.0,2894.0,19403,3990.0,2021-05-11 00:15:14.000,1.6.0,166.0,Bootstrap components built with React.,519921.0,461079.0,429.0,39,https://www.npmjs.com/package/react-bootstrap,2021-05-17 05:32:34.911,58842.0,3881920.0,3882533.0,True,2,"['bootstrap""']",,,50293.0,,,,,,
7,Tailewind CSS,tailwindlabs/tailwindcss,tailwindcss,styling,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14.000,2021-05-20 18:22:09.000,2021-05-20 18:02:50.000,1890,85.0,1392.0,41834,3893.0,2021-04-23 18:29:58.000,2.1.2,163.0,A utility-first CSS framework for rapid UI development.,214018.0,208630.0,183.0,38,https://www.npmjs.com/package/tailwindcss,2021-05-20 17:50:17.700,5388.0,3510986.0,3510986.0,True,1,,,,,,,,,,
8,Semantic UI React,Semantic-Org/Semantic-UI-React,semantic-ui-react,ui-frameworks,https://github.com/Semantic-Org/Semantic-UI-React,https://github.com/Semantic-Org/Semantic-UI-React,MIT,2015-06-19 16:47:19.000,2021-05-16 10:00:34.000,2021-01-25 15:14:50.000,3620,145.0,2257.0,12253,3064.0,2021-01-25 15:14:00.000,2.0.3,148.0,The official Semantic-UI-React integration.,133276.0,116346.0,307.0,37,https://www.npmjs.com/package/semantic-ui-react,2021-01-20 19:57:11.349,16930.0,933889.0,933889.0,True,2,,,https://react.semantic-ui.com/elements/button/,,,,,,,
9,Styled Components,styled-components/styled-components,styled-components,styling,https://github.com/styled-components/styled-components,https://github.com/styled-components/styled-components,MIT,2016-08-16 06:41:32.000,2021-05-18 20:32:29.000,2021-05-12 13:46:41.000,2039,249.0,2121.0,33626,,2021-05-05 02:17:54.000,5.3.0,287.0,Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress.,702909.0,648597.0,312.0,36,https://www.npmjs.com/package/styled-components,2021-05-05 02:17:02.605,54312.0,12074750.0,12074750.0,True,3,,,,,,,,,,
