,name,github_id,npm_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,trending,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,Webpack,webpack/webpack,webpack,dev-tools,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2021-06-10 12:52:10.000,2021-06-10 12:51:55.000,7677,285.0,8074.0,58431,13793.0,2021-05-27 21:13:28.000,5.38.1,748.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,8307520.0,7019856.0,758.0,43,https://www.npmjs.com/package/webpack,2021-05-27 21:12:50.612,1287664.0,66745796.0,66745796.0,True,1,,,,,,,,,,
1,Ant Design,ant-design/ant-design,antd,ui-frameworks,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2021-06-10 17:43:47.000,2021-06-10 05:10:15.000,28415,647.0,20660.0,72261,20809.0,2021-06-07 05:34:53.000,4.16.2,596.0,A UI Design Language and React UI library.,249072.0,221870.0,1622.0,41,https://www.npmjs.com/package/antd,2021-06-07 05:34:22.937,27202.0,2973154.0,2973154.0,True,1,['ant-design'],,,,,,,,,
2,Material-UI,mui-org/material-ui,@material-ui/core,ui-frameworks,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2021-06-10 15:31:24.000,2021-06-10 10:26:16.000,22290,519.0,12646.0,68796,12043.0,2021-04-27 15:53:12.000,4.11.4,149.0,"Material-UI is a simple and customizable component library to build faster, beautiful, and more accessible React..",30096.0,584.0,2437.0,41,https://www.npmjs.com/package/@material-ui/core,2021-06-08 06:40:14.203,29512.0,8552075.0,8552075.0,True,1,['material-ui'],,,,,,,,,
3,Next.js,vercel/next.js,next,cms-frameworks,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2021-06-10 18:24:43.000,2021-06-10 16:44:11.000,12868,1069.0,8614.0,68353,8325.0,2021-05-24 19:29:12.000,10.2.3,1172.0,The React Framework.,15642.0,210.0,1688.0,40,https://www.npmjs.com/package/next,2021-06-09 19:24:50.775,15432.0,5955652.0,5955652.0,True,1,,https://nextjs.org/showcase,,,,,,,,
4,Storybook,storybookjs/storybook,@storybook/react,dev-tools,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2021-06-10 15:50:21.000,2021-06-10 15:50:20.000,6163,1180.0,6499.0,62456,33490.0,2021-04-23 03:46:10.000,6.2.9,844.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",25697.0,11119.0,1512.0,40,https://www.npmjs.com/package/@storybook/react,2021-06-10 12:43:08.028,14578.0,8521475.0,8521475.0,True,2,,,,,,,,,,
5,Gatsby,gatsbyjs/gatsby,gatsby,cms-frameworks,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2021-06-10 17:53:32.000,2021-06-10 13:04:03.000,9613,526.0,12440.0,50491,18543.0,2021-06-08 17:35:31.000,gatsby@3.7.0,2191.0,"Build blazing fast, modern apps and websites with React.",368907.0,344547.0,4022.0,40,https://www.npmjs.com/package/gatsby,2021-06-10 13:14:20.621,24360.0,1783808.0,1783808.0,True,1,,https://www.gatsbyjs.com/showcase/,-1.0,,,,,,,
6,Bootstrap React,react-bootstrap/react-bootstrap,react-bootstrap,ui-frameworks,https://github.com/react-bootstrap/react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,MIT,2013-12-27 19:06:07.000,2021-06-10 18:02:52.000,2021-06-03 00:17:18.000,3106,134.0,2921.0,19510,4118.0,2021-06-04 00:04:42.000,1.6.1,168.0,Bootstrap components built with React.,536540.0,477698.0,439.0,39,https://www.npmjs.com/package/react-bootstrap,2021-06-03 00:17:42.936,58842.0,3550222.0,3550828.0,True,2,"['bootstrap""']",,,50309.0,,,,,,
7,Tailewind CSS,tailwindlabs/tailwindcss,tailwindcss,styling,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14.000,2021-06-10 16:23:37.574,2021-06-10 16:22:04.000,1950,55.0,1455.0,42690,3956.0,2021-06-02 12:57:33.000,2.1.4,170.0,A utility-first CSS framework for rapid UI development.,230319.0,224931.0,184.0,38,https://www.npmjs.com/package/tailwindcss,2021-06-10 16:23:37.574,5388.0,3443039.0,3443039.0,True,1,,,,,,,,,,
8,Semantic UI React,Semantic-Org/Semantic-UI-React,semantic-ui-react,ui-frameworks,https://github.com/Semantic-Org/Semantic-UI-React,https://github.com/Semantic-Org/Semantic-UI-React,MIT,2015-06-19 16:47:19.000,2021-05-16 10:00:34.000,2021-01-25 15:14:50.000,3638,147.0,2258.0,12293,3064.0,2021-01-25 15:14:00.000,2.0.3,148.0,The official Semantic-UI-React integration.,135760.0,118830.0,307.0,37,https://www.npmjs.com/package/semantic-ui-react,2021-01-20 19:57:11.349,16930.0,885053.0,885053.0,True,2,,https://react.semantic-ui.com/elements/button/,,,,,,,,
9,Styled Components,styled-components/styled-components,styled-components,styling,https://github.com/styled-components/styled-components,https://github.com/styled-components/styled-components,MIT,2016-08-16 06:41:32.000,2021-06-08 06:59:32.000,2021-05-12 13:46:41.000,2066,260.0,2127.0,33836,,2021-05-05 02:17:54.000,5.3.0,287.0,Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress.,725069.0,670757.0,312.0,36,https://www.npmjs.com/package/styled-components,2021-05-05 02:17:02.605,54312.0,11366118.0,11366118.0,True,3,,,,,,,,,,
