,name,github_id,npm_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,demo_url,trending,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,Ant Design,ant-design/ant-design,antd,['ant-design'],ui-frameworks,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2021-07-01 12:51:28.000,2021-07-01 12:51:27.000,28791,665.0,20818.0,72829,20862.0,2021-06-29 06:02:15.000,4.16.6,599.0,An enterprise-class UI design language and React UI library.,254196.0,226994.0,1631.0,41,https://www.npmjs.com/package/antd,2021-06-29 06:01:38.351,27202.0,3142932.0,3142932.0,True,1,,,,,,,,,
1,Material-UI,mui-org/material-ui,@material-ui/core,['material-ui'],ui-frameworks,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2021-07-01 16:38:12.000,2021-07-01 13:06:20.000,22693,512.0,12798.0,69098,12049.0,2021-04-27 15:53:12.000,4.11.4,152.0,"Material-UI is a simple and customizable component library to build faster, beautiful, and more accessible React..",30112.0,600.0,2453.0,41,https://www.npmjs.com/package/@material-ui/core,2021-07-01 12:12:53.955,29512.0,9069460.0,9069460.0,True,1,,,,,,,,,
2,Gatsby,gatsbyjs/gatsby,gatsby,,cms-frameworks,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2021-07-01 18:18:20.000,2021-07-01 16:36:04.000,9681,440.0,12532.0,50669,18633.0,2021-06-29 07:54:49.172,3.8.1,2199.0,"Build blazing fast, modern apps and websites with React.",374875.0,350515.0,4035.0,41,https://www.npmjs.com/package/gatsby,2021-06-28 08:47:10.171,24360.0,1757832.0,1757832.0,True,1,https://www.gatsbyjs.com/showcase/,1.0,,,,,,,
3,Next.js,vercel/next.js,next,,cms-frameworks,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2021-07-01 18:17:58.000,2021-07-01 17:10:01.000,13207,1141.0,8832.0,70040,8505.0,2021-06-22 20:05:28.000,11.0.1,1193.0,The React Framework.,15652.0,220.0,1723.0,40,https://www.npmjs.com/package/next,2021-06-28 15:57:24.895,15432.0,6445639.0,6445639.0,True,3,https://nextjs.org/showcase,,,,,,,,
4,Storybook,storybookjs/storybook,@storybook/react,,dev-tools,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2021-07-01 15:29:32.000,2021-06-30 14:34:31.000,6257,1247.0,6553.0,63045,33498.0,2021-06-30 11:48:16.000,6.3.2,867.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",26326.0,11748.0,1520.0,40,https://www.npmjs.com/package/@storybook/react,2021-06-30 09:25:13.097,14578.0,9171816.0,9171816.0,True,1,,,,,,,,,
5,Webpack,webpack/webpack,webpack,,dev-tools,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2021-07-01 09:48:12.000,2021-06-30 05:03:49.000,7677,285.0,8117.0,58590,,2021-06-29 14:31:01.000,5.41.1,752.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,8406843.0,7119179.0,764.0,39,https://www.npmjs.com/package/webpack,2021-06-29 14:30:51.660,1287664.0,71292839.0,71292839.0,True,2,,-4.0,,,,,,,
6,Bootstrap React,react-bootstrap/react-bootstrap,react-bootstrap,"['bootstrap""']",ui-frameworks,https://github.com/react-bootstrap/react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,MIT,2013-12-27 19:06:07.000,2021-07-01 06:48:44.000,2021-06-29 16:04:21.000,3115,131.0,2939.0,19591,4132.0,2021-06-04 00:04:42.000,1.6.1,170.0,Bootstrap components built with React.,553035.0,494193.0,442.0,39,https://www.npmjs.com/package/react-bootstrap,2021-06-19 00:11:46.250,58842.0,3725222.0,3725821.0,True,2,,,50322.0,,,,,,
7,Tailewind CSS,tailwindlabs/tailwindcss,tailwindcss,,styling,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14.000,2021-07-01 14:21:44.000,2021-07-01 14:21:43.000,2008,68.0,1519.0,44045,4011.0,2021-06-23 19:30:20.000,2.2.4,191.0,A utility-first CSS framework for rapid UI development.,246079.0,240691.0,188.0,38,https://www.npmjs.com/package/tailwindcss,2021-06-23 19:29:55.806,5388.0,3789371.0,3789371.0,True,1,,,,,,,,,
8,Styled Components,styled-components/styled-components,styled-components,,styling,https://github.com/styled-components/styled-components,https://github.com/styled-components/styled-components,MIT,2016-08-16 06:41:32.000,2021-06-29 08:55:43.000,2021-06-15 15:34:55.000,2066,260.0,2128.0,34022,,2021-05-05 02:17:54.000,5.3.0,287.0,Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress.,746630.0,692318.0,312.0,36,https://www.npmjs.com/package/styled-components,2021-05-05 02:17:02.605,54312.0,12052101.0,12052101.0,True,3,,,,,,,,,
9,Draft JS,facebook/draft-js,draft-js,,editors,https://github.com/facebook/draft-js,https://github.com/facebook/draft-js,MIT,2016-02-19 20:18:26.000,2021-07-01 14:04:55.000,2021-06-24 03:33:44.000,2382,875.0,947.0,20488,1118.0,2020-08-17 16:40:16.000,0.11.7,32.0,A React framework for building text editors.,108646.0,90228.0,306.0,36,https://www.npmjs.com/package/draft-js,2020-08-17 16:36:23.849,18418.0,2932657.0,2932657.0,True,1,,,,,,,,,
