,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,license,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,new_addition,labels,demo_url,trending,github_release_downloads,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,lodash,lodash/lodash,utils,lodash,https://github.com/lodash/lodash,https://github.com/lodash/lodash,2012-04-07 04:11:46.000,2021-07-06 00:29:23.000,2021-04-23 17:25:37.000,5837,255.0,3807.0,49974,8005.0,2021-02-20 15:42:16.891,4.17.21,114.0,"A modern JavaScript utility library delivering modularity, performance, & extras.",13287617.0,11305151.0,327,42,https://www.npmjs.com/package/lodash,MIT,2021-02-20 15:42:16.891,1982466.0,176343005.0,176343005.0,True,1,True,,,,,,,,,
1,jest,facebook/jest,testing,jest,https://github.com/facebook/jest,https://github.com/facebook/jest,2013-12-10 00:18:04.000,2021-07-08 15:51:17.000,2021-07-02 05:45:32.000,5174,1513.0,4943.0,35682,5520.0,2021-06-28 17:08:31.000,27.0.6,281.0,Delightful JavaScript Testing.,3985004.0,3444346.0,1322,42,https://www.npmjs.com/package/jest,MIT,2021-06-28 17:06:18.626,540658.0,52999280.0,52999280.0,True,1,True,,,,,,,,,
2,axios,axios/axios,utils,axios,https://github.com/axios/axios,https://github.com/axios/axios,2014-08-18 22:30:27.000,2021-07-02 05:03:43.000,2021-05-27 05:44:43.000,8321,231.0,2880.0,85704,1005.0,2021-01-04 15:04:38.000,0.21.1,46.0,Promise based HTTP client for the browser and node.js.,5117431.0,4568543.0,279,41,https://www.npmjs.com/package/axios,MIT,2020-12-22 04:20:06.101,548888.0,74740735.0,74740735.0,True,2,True,,,,,,,,,
3,Ant Design,ant-design/ant-design,ui-frameworks,antd,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,2015-04-24 15:37:24.000,2021-07-09 13:24:17.000,2021-07-09 03:14:07.000,28947,678.0,20873.0,73021,20882.0,2021-06-29 06:02:15.000,4.16.6,599.0,An enterprise-class UI design language and React UI library.,256280.0,229078.0,1634,41,https://www.npmjs.com/package/antd,MIT,2021-06-29 06:01:38.351,27202.0,3149883.0,3149883.0,True,1,,['ant-design'],,,,,,,,
4,Material-UI,mui-org/material-ui,ui-frameworks,@material-ui/core,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,2014-08-18 19:11:54.000,2021-07-09 17:47:02.000,2021-07-09 17:47:02.000,22693,512.0,12832.0,69385,12092.0,2021-07-07 13:11:34.000,4.12.1,154.0,"Material-UI is a simple and customizable component library to build faster, beautiful, and more accessible React..",30114.0,602.0,2456,41,https://www.npmjs.com/package/@material-ui/core,MIT,2021-07-01 12:12:53.955,29512.0,8991089.0,8991089.0,True,1,,['material-ui'],,,,,,,,
5,Next.js,vercel/next.js,cms-frameworks,next,https://github.com/vercel/next.js,https://github.com/vercel/next.js,2016-10-05 23:32:51.000,2021-07-09 17:17:33.000,2021-07-09 16:39:00.000,13370,1149.0,8888.0,70344,8577.0,2021-06-22 20:05:28.000,11.0.1,1197.0,The React Framework.,15654.0,222.0,1740,40,https://www.npmjs.com/package/next,MIT,2021-07-09 01:21:42.249,15432.0,6558422.0,6558422.0,True,1,,,https://nextjs.org/showcase,,,,,,,
6,Storybook,storybookjs/storybook,dev-tools,@storybook/react,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,2016-03-18 04:23:44.000,2021-07-09 20:24:58.000,2021-07-09 08:17:50.000,6317,1291.0,6583.0,63249,33498.0,2021-07-08 15:05:28.000,6.3.4,875.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",26576.0,11998.0,1531,40,https://www.npmjs.com/package/@storybook/react,MIT,2021-07-09 07:37:50.324,14578.0,9043413.0,9043413.0,True,1,,,,,,,,,,
7,Gatsby,gatsbyjs/gatsby,cms-frameworks,gatsby,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,2015-05-21 22:43:05.000,2021-07-09 20:16:45.000,2021-07-09 17:57:35.000,9700,437.0,12559.0,50750,18695.0,2021-07-06 19:21:35.000,gatsby@3.9.0,2230.0,"Build blazing fast, modern apps and websites with React.",377139.0,352779.0,4039,40,https://www.npmjs.com/package/gatsby,MIT,2021-07-08 14:34:01.222,24360.0,1759021.0,1759021.0,True,1,,,https://www.gatsbyjs.com/showcase/,-1.0,,,,,,
8,Webpack,webpack/webpack,dev-tools,webpack,https://github.com/webpack/webpack,https://github.com/webpack/webpack,2012-03-10 10:08:14.000,2021-07-09 02:03:20.000,2021-07-08 19:37:44.000,7677,285.0,8134.0,58648,,2021-07-08 19:39:03.000,5.44.0,757.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,8445434.0,7157770.0,764,39,https://www.npmjs.com/package/webpack,MIT,2021-07-08 19:38:10.559,1287664.0,70559778.0,70559778.0,True,1,,,,,,,,,,
9,cypress,cypress-io/cypress,testing,cypress,https://github.com/cypress-io/cypress,https://github.com/cypress-io/cypress,2015-03-04 00:46:28.000,2021-07-09 20:57:46.000,2021-07-09 14:38:28.000,1862,1521.0,6776.0,32060,15669.0,2021-07-07 14:56:53.000,7.7.0,138.0,"Fast, easy and reliable testing for anything that runs in a browser.",239274.0,231268.0,285,39,https://www.npmjs.com/package/cypress,MIT,2021-07-07 13:10:24.459,8006.0,10504812.0,10504812.0,True,2,True,,,,,,,,,
