,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,license,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,trending,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,lodash,lodash/lodash,utils,lodash,https://github.com/lodash/lodash,https://github.com/lodash/lodash,2012-04-07 04:11:46.000,2021-07-11 14:22:18.000,2021-04-23 17:25:37.000,5837,255.0,3807.0,50032,8005.0,2021-02-20 15:42:16.891,4.17.21,114.0,"A modern JavaScript utility library delivering modularity, performance, & extras.",13344216.0,11361750.0,327,42,https://www.npmjs.com/package/lodash,MIT,2021-02-20 15:42:16.891,1982466.0,174703306.0,174703306.0,True,1,,,,,,,,,,
1,jest,facebook/jest,testing,jest,https://github.com/facebook/jest,https://github.com/facebook/jest,2013-12-10 00:18:04.000,2021-07-13 22:35:04.000,2021-07-13 07:29:32.000,5174,1513.0,4945.0,35727,5521.0,2021-06-28 17:08:31.000,27.0.6,281.0,Delightful JavaScript Testing.,4004040.0,3463382.0,1322,42,https://www.npmjs.com/package/jest,MIT,2021-06-28 17:06:18.626,540658.0,52952728.0,52952728.0,True,1,,,,,,,,,,
2,axios,axios/axios,utils,axios,https://github.com/axios/axios,https://github.com/axios/axios,2014-08-18 22:30:27.000,2021-07-13 13:49:24.000,2021-05-27 05:44:43.000,8321,231.0,2887.0,85821,1005.0,2021-01-04 15:04:38.000,0.21.1,46.0,Promise based HTTP client for the browser and node.js.,5147193.0,4598305.0,279,41,https://www.npmjs.com/package/axios,MIT,2020-12-22 04:20:06.101,548888.0,74555038.0,74555038.0,True,2,,,,,,,,,,
3,Ant Design,ant-design/ant-design,ui-frameworks,antd,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,2015-04-24 15:37:24.000,2021-07-15 11:28:14.000,2021-07-14 09:21:39.000,28947,678.0,20932.0,73134,20900.0,2021-07-12 03:30:28.000,4.16.7,600.0,An enterprise-class UI design language and React UI library.,257713.0,230511.0,1636,41,https://www.npmjs.com/package/antd,MIT,2021-07-12 03:30:00.250,27202.0,3186098.0,3186098.0,True,1,['ant-design'],,,,,,,,,
4,Material-UI,mui-org/material-ui,ui-frameworks,@material-ui/core,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,2014-08-18 19:11:54.000,2021-07-15 18:01:17.000,2021-07-15 17:37:32.000,22918,535.0,12887.0,69697,12098.0,2021-07-07 13:11:34.000,4.12.1,155.0,"Material-UI is a simple and customizable component library to build faster, beautiful, and more accessible React..",30119.0,607.0,2459,41,https://www.npmjs.com/package/@material-ui/core,MIT,2021-07-14 16:27:07.119,29512.0,8983715.0,8983715.0,True,1,['material-ui'],,,,,,,,,
5,Gatsby,gatsbyjs/gatsby,cms-frameworks,gatsby,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,2015-05-21 22:43:05.000,2021-07-15 17:10:39.000,2021-07-15 16:43:42.000,9720,442.0,12572.0,50804,18730.0,2021-07-09 18:56:50.539,3.9.1,2236.0,"Build blazing fast, modern apps and websites with React.",378788.0,354428.0,4045,41,https://www.npmjs.com/package/gatsby,MIT,2021-07-15 15:53:58.552,24360.0,1737550.0,1737550.0,True,1,,https://www.gatsbyjs.com/showcase/,1.0,,,,,,,
6,Next.js,vercel/next.js,cms-frameworks,next,https://github.com/vercel/next.js,https://github.com/vercel/next.js,2016-10-05 23:32:51.000,2021-07-15 18:16:39.000,2021-07-15 18:04:17.000,13448,1168.0,8914.0,70573,8577.0,2021-06-22 20:05:28.000,11.0.1,1203.0,The React Framework.,15659.0,227.0,1746,40,https://www.npmjs.com/package/next,MIT,2021-07-14 14:23:59.169,15432.0,6700969.0,6700969.0,True,2,,https://nextjs.org/showcase,,,,,,,,
7,Storybook,storybookjs/storybook,dev-tools,@storybook/react,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,2016-03-18 04:23:44.000,2021-07-15 16:26:28.000,2021-07-15 16:26:27.000,6346,1302.0,6596.0,63357,33498.0,2021-07-08 15:05:28.000,6.3.4,879.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",26736.0,12158.0,1539,40,https://www.npmjs.com/package/@storybook/react,MIT,2021-07-15 13:00:48.458,14578.0,8984798.0,8984798.0,True,1,,,,,,,,,,
8,Webpack,webpack/webpack,dev-tools,webpack,https://github.com/webpack/webpack,https://github.com/webpack/webpack,2012-03-10 10:08:14.000,2021-07-15 16:55:54.000,2021-07-15 16:53:01.000,7677,285.0,8159.0,58676,,2021-07-08 19:39:03.000,5.44.0,757.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,8475145.0,7187481.0,765,39,https://www.npmjs.com/package/webpack,MIT,2021-07-08 19:38:10.559,1287664.0,70311059.0,70311059.0,True,1,,,,,,,,,,
9,cypress,cypress-io/cypress,testing,cypress,https://github.com/cypress-io/cypress,https://github.com/cypress-io/cypress,2015-03-04 00:46:28.000,2021-07-15 17:52:57.000,2021-07-14 19:13:53.000,1862,1521.0,6804.0,32145,15670.0,2021-07-07 14:56:53.000,7.7.0,138.0,"Fast, easy and reliable testing for anything that runs in a browser.",242569.0,234563.0,287,39,https://www.npmjs.com/package/cypress,MIT,2021-07-07 13:10:24.459,8006.0,10468100.0,10468100.0,True,2,,,,,,,,,,
10,Bootstrap React,react-bootstrap/react-bootstrap,ui-frameworks,react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,https://github.com/react-bootstrap/react-bootstrap,2013-12-27 19:06:07.000,2021-07-15 16:08:15.000,2021-07-15 16:07:46.000,3127,141.0,2955.0,19650,4139.0,2021-06-04 00:04:42.000,1.6.1,171.0,Bootstrap components built with React.,563327.0,504485.0,444,39,https://www.npmjs.com/package/react-bootstrap,MIT,2021-07-15 16:08:10.584,58842.0,3713800.0,3714399.0,True,1,"['bootstrap""']",,,50330.0,,,,,,
11,winston,winstonjs/winston,utils,winston,https://github.com/winstonjs/winston,https://github.com/winstonjs/winston,2010-12-29 18:49:51.000,2021-07-12 05:53:04.000,2020-08-29 06:01:13.000,1489,356.0,895.0,17524,1356.0,2020-06-23 22:31:38.000,3.3.3,83.0,A logger for just about everything.,512393.0,393411.0,344,39,https://www.npmjs.com/package/winston,MIT,2020-06-23 22:31:24.942,118982.0,25864503.0,25864503.0,True,2,,,,,,,,,,
12,Tailewind CSS,tailwindlabs/tailwindcss,styling,tailwindcss,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,2017-10-06 14:59:14.000,2021-07-10 11:25:52.000,2021-07-09 22:33:10.000,2060,77.0,1544.0,44571,4024.0,2021-06-23 19:30:20.000,2.2.4,192.0,A utility-first CSS framework for rapid UI development.,256714.0,251326.0,190,38,https://www.npmjs.com/package/tailwindcss,MIT,2021-06-23 19:29:55.806,5388.0,3784626.0,3784626.0,True,1,,,,,,,,,,
13,enzyme,enzymejs/enzyme,testing,enzyme,https://github.com/enzymejs/enzyme,https://github.com/enzymejs/enzyme,2015-11-10 21:45:38.000,2021-06-29 16:23:44.000,2021-06-15 18:14:30.000,2082,281.0,1476.0,19624,1961.0,2019-12-20 00:08:40.725,3.11.0,54.0,JavaScript Testing utilities for React.,489518.0,386648.0,396,38,https://www.npmjs.com/package/enzyme,MIT,2019-12-20 00:08:40.725,102870.0,9996229.0,9996229.0,True,3,,,,,,,,,,
14,bulma,jgthms/bulma,ui-frameworks,bulma,https://github.com/jgthms/bulma,https://github.com/jgthms/bulma,2016-01-23 23:48:34.000,2021-07-10 11:57:24.000,2021-07-10 11:57:03.000,3757,319.0,2136.0,43874,1627.0,2021-06-18 17:45:30.000,0.9.3,59.0,Modern CSS framework based on Flexbox.,180030.0,159286.0,372,37,https://www.npmjs.com/package/bulma,MIT,2021-06-18 17:42:02.342,20744.0,1030463.0,1042150.0,True,2,,,,525945.0,,,,,,
15,react-slick,akiran/react-slick,other-components,react-slick,https://github.com/akiran/react-slick,https://github.com/akiran/react-slick,2014-11-16 05:14:39.000,2021-07-08 12:52:17.000,2021-03-08 05:01:23.000,1866,374.0,1148.0,9673,1209.0,2021-03-08 05:01:08.649,0.28.1,114.0,React carousel component.,149935.0,131541.0,148,37,https://www.npmjs.com/package/react-slick,MIT,2021-03-08 05:01:08.649,18394.0,3349202.0,3349202.0,True,1,,,,,,,,,,
16,Styled Components,styled-components/styled-components,styling,styled-components,https://github.com/styled-components/styled-components,https://github.com/styled-components/styled-components,2016-08-16 06:41:32.000,2021-07-09 21:34:04.000,2021-07-09 21:34:03.000,2066,260.0,2137.0,34167,,2021-05-05 02:17:54.000,5.3.0,287.0,Visual primitives for the component age. Use the best bits of ES6 and CSS to style your apps without stress.,762577.0,708265.0,315,36,https://www.npmjs.com/package/styled-components,MIT,2021-05-05 02:17:02.605,54312.0,11980658.0,11980658.0,True,2,,,,,,,,,,
17,preact,preactjs/preact,others,preact,https://github.com/preactjs/preact,https://github.com/preactjs/preact,2015-09-11 02:40:18.000,2021-07-14 15:53:54.000,2021-07-14 15:53:53.000,1618,217.0,1264.0,29467,4892.0,2021-07-01 16:57:57.000,10.5.14,182.0,Fast 3kB React alternative with the same modern API. Components & Virtual DOM.,60038.0,48516.0,282,36,https://www.npmjs.com/package/preact,MIT,2021-07-01 16:55:57.821,11522.0,3003013.0,3003013.0,True,1,,,,,,,,,,
18,react-virtualized,bvaughn/react-virtualized,data-tables,react-virtualized,https://github.com/bvaughn/react-virtualized,https://github.com/bvaughn/react-virtualized,2015-11-03 00:48:07.000,2021-07-14 12:58:03.000,2021-05-17 21:35:30.000,2738,402.0,704.0,22073,1984.0,2020-12-18 22:18:53.000,9.22.3,294.0,React components for efficiently rendering large lists and tabular data.,38772.0,33316.0,214,36,https://www.npmjs.com/package/react-virtualized,MIT,2018-06-01 16:00:52.806,5456.0,3332485.0,3332485.0,True,1,,https://bvaughn.github.io/react-virtualized/#/components/List,,,,,,,,
19,react-hook-form,react-hook-form/react-hook-form,others,react-hook-form,https://github.com/react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form,2019-03-05 23:47:10.000,2021-07-15 13:30:46.000,2021-07-15 08:11:32.000,1002,13.0,2424.0,21994,2738.0,2021-07-12 23:27:25.000,7.11.0,850.0,React Hooks for forms validation (Web + React Native).,70529.0,70275.0,164,36,https://www.npmjs.com/package/react-hook-form,MIT,2021-07-12 23:29:21.852,254.0,3885012.0,3885012.0,True,1,,,,,,,,,,
20,Draft JS,facebook/draft-js,editors,draft-js,https://github.com/facebook/draft-js,https://github.com/facebook/draft-js,2016-02-19 20:18:26.000,2021-07-12 17:02:31.000,2021-07-12 17:02:23.000,2387,877.0,949.0,20554,1121.0,2020-08-17 16:40:16.000,0.11.7,32.0,A React framework for building text editors.,109375.0,90957.0,307,36,https://www.npmjs.com/package/draft-js,MIT,2020-08-17 16:36:23.849,18418.0,2967959.0,2967959.0,True,1,,,,,,,,,,
21,Recharts,recharts/recharts,data-viz,recharts,https://github.com/recharts/recharts,https://github.com/recharts/recharts,2015-08-07 06:50:27.000,2021-07-13 02:31:20.327,2021-07-13 02:31:05.000,1268,206.0,1966.0,16648,1853.0,2021-07-13 02:31:20.327,2.0.10,179.0,Redefined chart library built with React and D3.,58163.0,51159.0,214,36,https://www.npmjs.com/package/recharts,MIT,2021-07-13 02:31:20.327,7004.0,2600905.0,2600905.0,True,1,,http://recharts.org/en-US/examples,,,,,,,,
22,react-table,tannerlinsley/react-table,data-tables,react-table,https://github.com/tannerlinsley/react-table,https://github.com/tannerlinsley/react-table,2016-10-20 17:25:08.000,2021-07-09 23:43:29.000,2021-06-09 14:08:15.000,1974,170.0,1758.0,14578,1390.0,2021-04-25 22:58:23.000,7.7.0,216.0,Hooks for building fast and extendable tables and datagrids for React.,38630.0,35090.0,266,36,https://www.npmjs.com/package/react-table,MIT,2021-04-25 22:58:20.146,3540.0,2971448.0,2971448.0,True,1,,,,,,,,,,
