,name,github_id,category,npm_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,license,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,demo_url,github_release_downloads,trending,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,lodash,lodash/lodash,utils,lodash,https://github.com/lodash/lodash,https://github.com/lodash/lodash,2012-04-07 04:11:46.000,2021-07-20 05:34:32.000,2021-04-23 17:25:37.000,5837,255.0,3807.0,50185,8005.0,2021-02-20 15:42:16.891,4.17.21,114.0,"A modern JavaScript utility library delivering modularity, performance, & extras.",13471953.0,11489487.0,327,42,https://www.npmjs.com/package/lodash,MIT,2021-02-20 15:42:16.891,1982466.0,171705420.0,171705420.0,True,1,,,,,,,,,,
1,jest,facebook/jest,testing,jest,https://github.com/facebook/jest,https://github.com/facebook/jest,2013-12-10 00:18:04.000,2021-07-28 13:43:36.000,2021-07-13 07:29:32.000,5174,1513.0,4950.0,35963,5521.0,2021-06-28 17:08:31.000,27.0.6,281.0,Delightful JavaScript Testing.,4047543.0,3506885.0,1322,42,https://www.npmjs.com/package/jest,MIT,2021-06-28 17:06:18.626,540658.0,52524561.0,52524561.0,True,1,,,,,,,,,,
2,axios,axios/axios,utils,axios,https://github.com/axios/axios,https://github.com/axios/axios,2014-08-18 22:30:27.000,2021-07-28 17:30:11.000,2021-05-27 05:44:43.000,8321,231.0,2896.0,86215,1005.0,2021-01-04 15:04:38.000,0.21.1,46.0,Promise based HTTP client for the browser and node.js.,5215390.0,4666502.0,279,41,https://www.npmjs.com/package/axios,MIT,2020-12-22 04:20:06.101,548888.0,74760554.0,74760554.0,True,2,,,,,,,,,,
3,Ant Design,ant-design/ant-design,ui-frameworks,antd,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,2015-04-24 15:37:24.000,2021-07-29 15:55:05.000,2021-07-29 11:37:38.000,29278,680.0,21017.0,73424,20937.0,2021-07-27 10:08:52.000,4.16.9,602.0,An enterprise-class UI design language and React UI library.,261244.0,234042.0,1653,41,https://www.npmjs.com/package/antd,MIT,2021-07-27 10:07:46.803,27202.0,3160415.0,3160415.0,True,1,['ant-design'],,,,,,,,,
4,Material-UI,mui-org/material-ui,ui-frameworks,@material-ui/core,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,2014-08-18 19:11:54.000,2021-07-29 15:09:23.000,2021-07-29 14:41:02.000,23130,547.0,12957.0,69994,12111.0,2021-07-19 16:43:49.000,4.12.2,157.0,"Material-UI is a simple and customizable component library to build faster, beautiful, and more accessible React..",30130.0,618.0,2473,41,https://www.npmjs.com/package/@material-ui/core,MIT,2021-07-26 15:01:33.713,29512.0,8982095.0,8982095.0,True,1,['material-ui'],,,,,,,,,
5,Gatsby,gatsbyjs/gatsby,cms-frameworks,gatsby,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,2015-05-21 22:43:05.000,2021-07-29 18:06:27.000,2021-07-29 18:06:26.000,9720,442.0,12630.0,50935,18777.0,2021-07-26 15:00:46.742,3.10.2,2252.0,"Build blazing fast, modern apps and websites with React.",382579.0,358219.0,4050,41,https://www.npmjs.com/package/gatsby,MIT,2021-07-29 16:25:50.265,24360.0,1675584.0,1675584.0,True,1,,https://www.gatsbyjs.com/showcase/,,,,,,,,
6,Next.js,vercel/next.js,cms-frameworks,next,https://github.com/vercel/next.js,https://github.com/vercel/next.js,2016-10-05 23:32:51.000,2021-07-29 18:08:14.000,2021-07-29 18:08:14.000,13629,1136.0,9020.0,71048,8577.0,2021-06-22 20:05:28.000,11.0.1,1210.0,The React Framework.,15676.0,244.0,1781,40,https://www.npmjs.com/package/next,MIT,2021-07-28 20:26:34.228,15432.0,6771403.0,6771403.0,True,2,,https://nextjs.org/showcase,,,,,,,,
7,Storybook,storybookjs/storybook,dev-tools,@storybook/react,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,2016-03-18 04:23:44.000,2021-07-29 18:03:56.000,2021-07-29 18:03:55.000,6374,1311.0,6613.0,63662,33498.0,2021-07-26 06:57:46.000,6.3.6,886.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",27061.0,12483.0,1554,40,https://www.npmjs.com/package/@storybook/react,MIT,2021-07-28 02:41:26.670,14578.0,8986696.0,8986696.0,True,1,,,,,,,,,,
8,Webpack,webpack/webpack,dev-tools,webpack,https://github.com/webpack/webpack,https://github.com/webpack/webpack,2012-03-10 10:08:14.000,2021-07-29 14:20:12.000,2021-07-29 14:19:44.000,7677,285.0,8188.0,58893,,2021-07-29 14:21:24.000,5.47.1,760.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,8542797.0,7255133.0,768,39,https://www.npmjs.com/package/webpack,MIT,2021-07-22 10:14:50.690,1287664.0,69061142.0,69061142.0,True,1,,,,,,,,,,
9,cypress,cypress-io/cypress,testing,cypress,https://github.com/cypress-io/cypress,https://github.com/cypress-io/cypress,2015-03-04 00:46:28.000,2021-07-29 18:08:20.000,2021-07-29 17:24:03.000,1891,1556.0,6847.0,32396,15748.0,2021-07-29 17:25:19.000,8.1.0,139.0,"Fast, easy and reliable testing for anything that runs in a browser.",250685.0,242679.0,291,39,https://www.npmjs.com/package/cypress,MIT,2021-07-20 00:26:37.831,8006.0,10394550.0,10394550.0,True,2,,,,,,,,,,
