,name,github_id,category,npm_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,labels,trending,demo_url,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,jest,facebook/jest,testing,jest,https://github.com/facebook/jest,https://github.com/facebook/jest,MIT,2013-12-10 00:18:04.000,2021-08-09 08:32:11.000,2021-07-13 07:29:32.000,5174,1513.0,4961.0,36074,5521.0,2021-06-28 17:08:31.000,27.0.6,281.0,Delightful JavaScript Testing.,4089987.0,3549329.0,1322,42,https://www.npmjs.com/package/jest,2021-06-28 17:06:18.626,540658.0,52524605.0,52524605.0,True,1,,,,,,,,,,
1,axios,axios/axios,utils,axios,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27.000,2021-08-09 08:29:32.000,2021-05-27 05:44:43.000,8515,273.0,2911.0,86758,1005.0,2021-01-04 15:04:38.000,0.21.1,46.0,Promise based HTTP client for the browser and node.js.,5281703.0,4732815.0,279,41,https://www.npmjs.com/package/axios,2020-12-22 04:20:06.101,548888.0,75858001.0,75858001.0,True,1,,,,,,,,,,
2,Ant Design,ant-design/ant-design,ui-frameworks,antd,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2021-08-12 17:54:38.000,2021-08-12 02:54:17.000,29484,687.0,21121.0,73730,20969.0,2021-08-08 12:51:37.000,4.16.11,604.0,An enterprise-class UI design language and React UI library.,264609.0,237407.0,1660,41,https://www.npmjs.com/package/antd,2021-08-08 12:51:13.585,27202.0,3188040.0,3188040.0,True,1,['ant-design'],,,,,,,,,
3,Material-UI,mui-org/material-ui,ui-frameworks,@material-ui/core,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2021-08-12 18:05:25.000,2021-08-12 14:53:24.000,23332,566.0,13038.0,70248,12116.0,2021-07-30 10:07:38.000,4.12.3,159.0,"Material-UI is a simple and customizable component library to build faster, beautiful, and more accessible React..",30147.0,635.0,2488,41,https://www.npmjs.com/package/@material-ui/core,2021-08-09 04:03:12.366,29512.0,9185055.0,9185055.0,True,1,['material-ui'],,,,,,,,,
4,lodash,lodash/lodash,utils,lodash,https://github.com/lodash/lodash,https://github.com/lodash/lodash,MIT,2012-04-07 04:11:46.000,2021-08-11 04:19:00.000,2021-04-23 17:25:37.000,5837,255.0,3809.0,50352,8005.0,2021-02-20 15:42:16.891,4.17.21,114.0,"A modern JavaScript utility library delivering modularity, performance, & extras.",13598259.0,11615793.0,327,41,https://www.npmjs.com/package/lodash,2021-02-20 15:42:16.891,1982466.0,171692130.0,171692130.0,True,1,,-1.0,,,,,,,,
5,Next.js,vercel/next.js,cms-frameworks,next,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2021-08-12 18:13:30.000,2021-08-12 17:55:41.000,13830,1156.0,9124.0,71537,8577.0,2021-08-11 16:01:43.160,11.1.0,1219.0,The React Framework.,15686.0,254.0,1797,40,https://www.npmjs.com/package/next,2021-08-11 17:21:39.009,15432.0,6848873.0,6848873.0,True,1,,,https://nextjs.org/showcase,,,,,,,
6,Storybook,storybookjs/storybook,dev-tools,@storybook/react,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2021-08-12 17:29:15.000,2021-08-12 14:12:33.000,6374,1311.0,6653.0,63969,33498.0,2021-08-09 17:42:22.000,6.3.7,892.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",27367.0,12789.0,1564,40,https://www.npmjs.com/package/@storybook/react,2021-08-10 14:16:31.733,14578.0,9092462.0,9092462.0,True,1,,,,,,,,,,
7,Gatsby,gatsbyjs/gatsby,cms-frameworks,gatsby,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2021-08-12 18:00:15.000,2021-08-12 17:31:46.000,9720,442.0,12679.0,51042,18899.0,2021-08-04 18:14:09.000,gatsby@3.11.0,2261.0,"Build blazing fast, modern apps and websites with React.",386088.0,361728.0,4061,40,https://www.npmjs.com/package/gatsby,2021-08-12 17:57:28.268,24360.0,1604991.0,1604991.0,True,1,,-1.0,https://www.gatsbyjs.com/showcase/,,,,,,,
8,Webpack,webpack/webpack,dev-tools,webpack,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2021-08-12 02:02:33.000,2021-08-10 18:31:48.000,7677,285.0,8226.0,59009,,2021-08-10 18:32:20.000,5.50.0,765.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,8609098.0,7321434.0,769,39,https://www.npmjs.com/package/webpack,2021-08-10 18:32:10.097,1287664.0,69423702.0,69423702.0,True,1,,,,,,,,,,
9,cypress,cypress-io/cypress,testing,cypress,https://github.com/cypress-io/cypress,https://github.com/cypress-io/cypress,MIT,2015-03-04 00:46:28.000,2021-08-12 17:48:42.000,2021-08-09 22:09:30.000,1905,1585.0,6894.0,32601,15778.0,2021-08-04 19:24:07.000,8.2.0,141.0,"Fast, easy and reliable testing for anything that runs in a browser.",258806.0,250800.0,291,39,https://www.npmjs.com/package/cypress,2021-08-04 18:59:32.493,8006.0,10597104.0,10597104.0,True,2,,,,,,,,,,
