,name,github_id,npm_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,trending,demo_url,github_release_downloads,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,Material-UI,mui-org/material-ui,@material-ui/core,['material-ui'],ui-frameworks,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2021-11-17 17:14:23.000,2021-11-17 13:48:04.000,24877,797.0,13633.0,72995,18479.0,2021-11-16 15:21:17.000,5.1.1,161.0,"MUI (formerly Material-UI) is the React UI library you always wanted. Follow your own design system, or start with..",779454.0,749942.0,2600,43,https://www.npmjs.com/package/@material-ui/core,2021-08-25 07:29:18.576,29512.0,9751014.0,9751014.0,True,1,2.0,,,,,,,,
1,axios,axios/axios,axios,,utils,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27.000,2021-11-17 17:35:25.000,2021-11-16 15:06:21.000,8911,301.0,3122.0,89291,1051.0,2021-10-25 17:51:25.987,0.24.0,52.0,Promise based HTTP client for the browser and node.js.,5782706.0,5233818.0,304,42,https://www.npmjs.com/package/axios,2021-10-25 17:51:25.987,548888.0,98564315.0,98564315.0,True,1,,,,,,,,,
2,lodash,lodash/lodash,lodash,,utils,https://github.com/lodash/lodash,https://github.com/lodash/lodash,MIT,2012-04-07 04:11:46.000,2021-11-17 14:35:34.000,2021-04-23 17:25:37.000,6067,310.0,3729.0,51312,8005.0,2021-02-20 15:42:16.891,4.17.21,114.0,"A modern JavaScript utility library delivering modularity, performance, & extras.",14600081.0,12617615.0,327,42,https://www.npmjs.com/package/lodash,2021-02-20 15:42:16.891,1982466.0,179032579.0,179032579.0,True,1,,,,,,,,,
3,Ant Design,ant-design/ant-design,antd,['ant-design'],ui-frameworks,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2021-11-17 15:18:56.000,2021-11-17 14:38:40.000,31146,724.0,21720.0,75668,21262.0,2021-11-15 11:58:12.000,4.17.0,620.0,An enterprise-class UI design language and React UI library.,290631.0,263429.0,1717,41,https://www.npmjs.com/package/antd,2021-11-17 15:18:47.119,27202.0,3035672.0,3035672.0,True,1,,,,,,,,,
4,Next.js,vercel/next.js,next,,cms-frameworks,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2021-11-17 17:29:53.000,2021-11-17 17:01:42.000,15256,1349.0,9987.0,76688,8577.0,2021-11-15 21:03:01.000,12.0.4,1347.0,The React Framework.,15747.0,315.0,1933,40,https://www.npmjs.com/package/next,2021-11-16 23:32:08.082,15432.0,8678417.0,8678417.0,True,1,,https://nextjs.org/showcase,,,,,,,
5,Storybook,storybookjs/storybook,@storybook/react,,dev-tools,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2021-11-17 16:56:52.000,2021-11-17 16:55:25.000,6730,1540.0,6880.0,66155,33500.0,2021-10-14 07:13:56.000,6.3.12,940.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",29406.0,14828.0,1634,40,https://www.npmjs.com/package/@storybook/react,2021-11-16 14:14:19.827,14578.0,10774028.0,10774028.0,True,1,,,,,,,,,
6,Gatsby,gatsbyjs/gatsby,gatsby,,cms-frameworks,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2021-11-17 12:27:48.000,2021-11-17 12:04:38.000,9981,382.0,12921.0,51745,19474.0,2021-11-16 17:09:35.000,gatsby@4.2.0,2379.0,"Build blazing fast, modern apps and websites with React.",409567.0,385207.0,4128,40,https://www.npmjs.com/package/gatsby,2021-11-15 09:49:19.956,24360.0,1636659.0,1636659.0,True,1,,https://www.gatsbyjs.com/showcase/,,,,,,,
7,Webpack,webpack/webpack,webpack,,dev-tools,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2021-11-17 12:47:08.000,2021-11-16 15:03:22.000,8085,276.0,8481.0,59804,,2021-11-15 17:16:59.000,5.64.1,788.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,9200323.0,7912659.0,785,39,https://www.npmjs.com/package/webpack,2021-11-15 17:16:47.179,1287664.0,80444280.0,80444280.0,True,1,,,,,,,,,
8,Tailewind CSS,tailwindlabs/tailwindcss,tailwindcss,,styling,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14.000,2021-11-17 15:04:14.000,2021-11-17 15:04:13.000,2312,59.0,1779.0,49182,4294.0,2021-10-29 16:24:34.000,2.2.19,356.0,A utility-first CSS framework for rapid UI development.,367920.0,362532.0,203,39,https://www.npmjs.com/package/tailwindcss,2021-11-08 17:02:33.787,5388.0,5148782.0,5148782.0,True,1,,,,,,,,,
9,jest,facebook/jest,jest,,testing,https://github.com/facebook/jest,https://github.com/facebook/jest,MIT,2013-12-10 00:18:04.000,2021-11-17 02:26:52.000,2021-11-11 08:28:32.000,5444,1664.0,5063.0,37117,,2021-10-19 06:58:50.000,27.3.1,288.0,Delightful JavaScript Testing.,4470985.0,3930327.0,1361,39,https://www.npmjs.com/package/jest,2021-10-17 18:34:59.202,540658.0,62060287.0,62060287.0,True,1,-3.0,,,,,,,,
