,name,github_id,npm_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,show,projectrank_placing,demo_url,github_release_downloads,trending,updated_github_id,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads
0,Material-UI,mui-org/material-ui,@material-ui/core,['material-ui'],ui-frameworks,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2022-01-06 14:15:44.000,2022-01-06 05:04:11.000,25474,857.0,13976.0,74125,18792.0,2022-01-03 12:37:13.000,5.2.7,161.0,"MUI (formerly Material-UI) is the React UI library you always wanted. Follow your own design system, or start with..",812490.0,782978.0,2649,43,https://www.npmjs.com/package/@material-ui/core,2021-08-25 07:29:18.576,29512.0,7390956.0,7390956.0,True,1,,,,,,,,,
1,axios,axios/axios,axios,,utils,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27.000,2022-01-06 10:58:49.000,2021-12-29 05:30:54.000,9090,288.0,3192.0,90291,1069.0,2021-10-25 17:51:25.987,0.24.0,52.0,Promise based HTTP client for the browser and node.js.,6058099.0,5509211.0,319,42,https://www.npmjs.com/package/axios,2021-10-25 17:51:25.987,548888.0,79746106.0,79746106.0,True,1,,,,,,,,,
2,Next.js,vercel/next.js,next,,cms-frameworks,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2022-01-06 14:54:18.000,2022-01-06 13:58:57.000,15841,1255.0,10542.0,79159,8577.0,2021-12-05 01:08:57.000,12.0.7,1414.0,The React Framework.,32120.0,16688.0,2003,41,https://www.npmjs.com/package/next,2022-01-05 20:47:17.071,15432.0,7576073.0,7576073.0,True,1,https://nextjs.org/showcase,,,,,,,,
3,Ant Design,ant-design/ant-design,antd,['ant-design'],ui-frameworks,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2022-01-06 07:01:18.000,2022-01-06 07:01:16.000,31973,778.0,22102.0,76857,21443.0,2021-12-30 07:52:20.000,4.18.2,627.0,An enterprise-class UI design language and React UI library.,303816.0,276614.0,1752,41,https://www.npmjs.com/package/antd,2021-12-30 07:47:56.816,27202.0,2789757.0,2789757.0,True,1,,,,,,,,,
4,lodash,lodash/lodash,lodash,,utils,https://github.com/lodash/lodash,https://github.com/lodash/lodash,MIT,2012-04-07 04:11:46.000,2021-12-31 18:19:14.000,2021-04-23 17:25:37.000,6191,327.0,3734.0,51836,8005.0,2021-02-20 15:42:16.891,4.17.21,114.0,"A modern JavaScript utility library delivering modularity, performance, & extras.",15313745.0,13331279.0,327,41,https://www.npmjs.com/package/lodash,2021-02-20 15:42:16.891,1982466.0,163636731.0,163636731.0,True,2,,,,,,,,,
5,Storybook,storybookjs/storybook,@storybook/react,,dev-tools,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2022-01-06 14:55:49.000,2022-01-06 14:29:41.000,6963,1648.0,6993.0,67866,33500.0,2021-12-09 02:24:30.000,6.4.9,964.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",30419.0,15841.0,1668,40,https://www.npmjs.com/package/@storybook/react,2022-01-05 17:52:51.436,14578.0,8418310.0,8418310.0,True,1,,,,,,,,,
6,Webpack,webpack/webpack,webpack,,dev-tools,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2022-01-06 03:04:13.000,2021-12-17 22:43:51.000,8085,276.0,8575.0,60183,,2021-12-06 13:57:50.000,5.65.0,795.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,9727350.0,8439686.0,788,40,https://www.npmjs.com/package/webpack,2021-12-06 13:57:39.615,1287664.0,67417598.0,67417598.0,True,1,,,,,,,,,
7,Gatsby,gatsbyjs/gatsby,gatsby,,cms-frameworks,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2022-01-06 15:16:41.000,2022-01-06 14:52:44.000,10076,370.0,13007.0,52107,19650.0,2021-12-15 07:19:23.000,gatsby@4.4.0,2394.0,"Build blazing fast, modern apps and websites with React.",420608.0,396248.0,4145,40,https://www.npmjs.com/package/gatsby,2022-01-04 21:51:08.473,24360.0,1361350.0,1361350.0,True,2,https://www.gatsbyjs.com/showcase/,,,,,,,,
8,Tailewind CSS,tailwindlabs/tailwindcss,tailwindcss,,styling,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14.000,2022-01-06 13:20:58.000,2022-01-06 13:20:58.000,2450,64.0,1968.0,51867,4431.0,2022-01-05 13:46:52.324,3.0.11,473.0,A utility-first CSS framework for rapid UI development.,493701.0,488313.0,210,39,https://www.npmjs.com/package/tailwindcss,2022-01-05 13:46:52.324,5388.0,6071721.0,6072043.0,True,1,,5480.0,,,,,,,
9,jest,facebook/jest,jest,,testing,https://github.com/facebook/jest,https://github.com/facebook/jest,MIT,2013-12-10 00:18:04.000,2022-01-06 15:15:42.000,2022-01-06 07:52:11.000,5551,1690.0,5110.0,37544,,2022-01-05 13:06:35.000,27.4.7,290.0,Delightful JavaScript Testing.,4853039.0,4312381.0,1386,39,https://www.npmjs.com/package/jest,2022-01-05 13:05:50.479,540658.0,51192129.0,51192129.0,True,1,,,,,,,,,
10,cypress,cypress-io/cypress,cypress,,testing,https://github.com/cypress-io/cypress,https://github.com/cypress-io/cypress,MIT,2015-03-04 00:46:28.000,2022-01-06 15:21:50.000,2022-01-05 22:53:19.000,2108,1967.0,7283.0,35801,16155.0,2021-12-21 16:41:21.000,9.2.0,150.0,"Fast, easy and reliable testing for anything that runs in a browser.",341723.0,333717.0,329,39,https://www.npmjs.com/package/cypress,2021-12-21 16:13:41.383,8006.0,10931132.0,10931132.0,True,1,,,,,,,,,
