,name,github_id,npm_id,category,maven_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,trending,labels,demo_url,pypi_id,pypi_url,pypi_latest_release_published_at,nuget_id,github_release_downloads,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,brew_id,conda_id,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads
0,Webpack,webpack/webpack,webpack,dev-tools,org.webjars.npm:webpack,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2022-01-10 23:33:40.000,2022-01-10 23:33:40.000,14766.0,330.0,8085,1551.0,5484.0,276.0,8585.0,60229,2021-12-06 13:57:50.000,5.65.0,795.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,9303464.0,8487746.0,792,53,https://www.npmjs.com/package/webpack,2021-12-06 13:57:39.615,815705.0,60499761.0,60499761.0,https://search.maven.org/artifact/org.webjars.npm/webpack,2019-09-27 00:00:00.000,13.0,True,1,13.0,,,,,,,,,,,,,,,,,,,,,,,,
1,Material-UI,mui-org/material-ui,@material-ui/core,ui-frameworks,org.webjars.npm:material-ui__styles,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2022-01-11 03:14:41.000,2022-01-10 20:02:44.000,18805.0,608.0,25567,1376.0,15393.0,894.0,13987.0,74235,2022-01-10 20:13:24.000,5.2.8,161.0,"MUI (formerly Material-UI) is the React UI library you always wanted. Follow your own design system, or start with..",807797.0,785823.0,2649,52,https://www.npmjs.com/package/@material-ui/core,2021-08-25 07:29:18.576,21974.0,6853875.0,6853875.0,https://search.maven.org/artifact/org.webjars.npm/material-ui__styles,2021-02-10 11:48:10.000,,True,1,,['material-ui'],,,,,,,,,,,,,,,,,,,,,,,
2,Next.js,vercel/next.js,next,cms-frameworks,,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2022-01-10 22:32:24.000,2022-01-10 21:52:08.000,10252.0,863.0,16084,1224.0,10230.0,1232.0,10578.0,79406,2021-12-05 01:08:57.000,12.0.7,1416.0,The React Framework.,26824.0,16839.0,2010,51,https://www.npmjs.com/package/next,2022-01-10 21:59:16.001,9985.0,6764941.0,6764941.0,,,,True,1,10.0,,https://nextjs.org/showcase,EmeaTigMal,https://pypi.org/project/EmeaTigMal,2021-11-24 09:23:39.000,,,,,,,,,,,,,,,,,,,
3,Ant Design,ant-design/ant-design,antd,ui-frameworks,org.webjars.npm:antd,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2022-01-11 04:04:51.000,2022-01-11 04:04:50.000,21455.0,267.0,32006,153.0,10089.0,780.0,22140.0,76935,2022-01-10 10:59:48.000,4.18.3,628.0,An enterprise-class UI design language and React UI library.,298548.0,277713.0,1754,49,https://www.npmjs.com/package/antd,2022-01-10 10:59:22.520,20835.0,2659561.0,2659561.0,https://search.maven.org/artifact/org.webjars.npm/antd,2021-11-07 11:20:14.000,,True,1,,['ant-design'],,,,,,,,,,,,,,,,,,,,,,,
4,axios,axios/axios,axios,utils,,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27.000,2022-01-09 04:45:37.000,2021-12-29 05:30:54.000,1069.0,25.0,9095,1220.0,953.0,290.0,3193.0,90365,2021-10-25 17:51:25.987,0.24.0,52.0,Promise based HTTP client for the browser and node.js.,5858749.0,5533529.0,319,48,https://www.npmjs.com/package/axios,2021-10-25 17:51:25.987,325220.0,75470198.0,75470198.0,,,,True,1,,,,,,,axios.js,,,,,,,,,,,,,,,,,,
5,Storybook,storybookjs/storybook,@storybook/react,dev-tools,,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2022-01-10 23:38:42.000,2022-01-10 23:37:08.000,38056.0,1339.0,6978,925.0,7855.0,1627.0,7018.0,67960,2022-01-10 12:47:09.000,5.3.22,970.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",38200.0,15915.0,1671,48,https://www.npmjs.com/package/@storybook/react,2022-01-10 17:24:45.379,22285.0,7739617.0,7739617.0,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,,,
6,Gatsby,gatsbyjs/gatsby,gatsby,cms-frameworks,,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2022-01-11 03:31:36.000,2022-01-10 10:37:49.000,19663.0,434.0,10086,850.0,19398.0,373.0,13034.0,52140,2021-12-15 07:19:23.000,gatsby@4.4.0,2397.0,"Build blazing fast, modern apps and websites with React.",411425.0,397247.0,4150,48,https://www.npmjs.com/package/gatsby,2022-01-06 16:10:36.441,14178.0,1287271.0,1287271.0,,,,True,2,,,https://www.gatsbyjs.com/showcase/,,,,,,,,,,,,,,,,,,,,,,
7,jest,facebook/jest,jest,testing,,https://github.com/facebook/jest,https://github.com/facebook/jest,MIT,2013-12-10 00:18:04.000,2022-01-10 22:38:34.000,2022-01-06 16:25:45.000,5766.0,131.0,5551,547.0,5540.0,1690.0,5111.0,37587,2022-01-05 13:06:35.000,27.4.7,290.0,Delightful JavaScript Testing.,4767727.0,4348299.0,1386,48,https://www.npmjs.com/package/jest,2022-01-05 13:05:50.479,419428.0,48398969.0,48398969.0,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,,,
8,Tailewind CSS,tailwindlabs/tailwindcss,tailwindcss,styling,org.webjars.npm:tailwindcss,https://github.com/tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,MIT,2017-10-06 14:59:14.000,2022-01-10 21:46:50.000,2022-01-10 21:28:37.000,4444.0,198.0,2460,557.0,1605.0,64.0,1988.0,52096,2022-01-07 16:49:45.702,3.0.12,486.0,A utility-first CSS framework for rapid UI development.,518520.0,513482.0,211,46,https://www.npmjs.com/package/tailwindcss,2022-01-07 16:49:45.702,5038.0,6306571.0,6306967.0,https://search.maven.org/artifact/org.webjars.npm/tailwindcss,2021-11-23 13:05:21.000,,True,1,,,,,,,,6738.0,,,,,,,,,,,,,,,,,
9,cypress,cypress-io/cypress,cypress,testing,,https://github.com/cypress-io/cypress,https://github.com/cypress-io/cypress,MIT,2015-03-04 00:46:28.000,2022-01-11 04:03:53.000,2022-01-10 21:38:23.000,16174.0,218.0,2157,567.0,4181.0,2008.0,7299.0,35917,2022-01-10 23:41:29.000,9.2.1,151.0,"Fast, easy and reliable testing for anything that runs in a browser.",342571.0,336217.0,332,46,https://www.npmjs.com/package/cypress,2022-01-10 20:00:08.511,6354.0,9805219.0,9805219.0,,,,True,2,,,,,,,,,,,,,,,,,,,,,,,,,
