,name,github_id,npm_id,category,maven_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,monthly_downloads,maven_url,maven_latest_release_published_at,maven_dependent_project_count,show,projectrank_placing,labels,demo_url,trending,nuget_id,pypi_id,github_release_downloads,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,conda_id,conda_url,conda_latest_release_published_at,conda_total_downloads,brew_id,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,new_addition
0,Webpack,webpack/webpack,webpack,dev-tools,org.webjars.npm:webpack,https://github.com/webpack/webpack,https://github.com/webpack/webpack,MIT,2012-03-10 10:08:14.000,2022-01-13 15:25:00.000,2022-01-13 14:24:27.000,14774.0,338.0,8085,1551.0,5489.0,276.0,8590.0,60236,2022-01-12 08:25:48.000,5.66.0,796.0,A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading..,9335778.0,8520060.0,793.0,53,https://www.npmjs.com/package/webpack,2022-01-12 08:24:10.749,815705.0,66153346.0,66153346.0,https://search.maven.org/artifact/org.webjars.npm/webpack,2019-09-27 00:00:00.000,13.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Material-UI,mui-org/material-ui,@material-ui/core,ui-frameworks,org.webjars.npm:material-ui__styles,https://github.com/mui-org/material-ui,https://github.com/mui-org/material-ui,MIT,2014-08-18 19:11:54.000,2022-01-13 14:42:11.000,2022-01-13 13:48:29.000,18842.0,630.0,25567,1374.0,15403.0,894.0,14001.0,74332,2022-01-10 20:13:24.000,5.2.8,161.0,"MUI (formerly Material-UI) is the React UI library you always wanted. Follow your own design system, or start with..",809577.0,787603.0,2651.0,52,https://www.npmjs.com/package/@material-ui/core,2021-08-25 07:29:18.576,21974.0,7165720.0,7165720.0,https://search.maven.org/artifact/org.webjars.npm/material-ui__styles,2021-02-10 11:48:10.000,,True,1,['material-ui'],,,,,,,,,,,,,,,,,,,,,,,,,
2,Next.js,vercel/next.js,next,cms-frameworks,,https://github.com/vercel/next.js,https://github.com/vercel/next.js,MIT,2016-10-05 23:32:51.000,2022-01-13 15:07:46.000,2022-01-13 15:02:34.000,10273.0,847.0,16084,1221.0,10255.0,1232.0,10625.0,79571,2022-01-12 08:14:48.000,12.0.8,1419.0,The React Framework.,26898.0,16913.0,2014.0,50,https://www.npmjs.com/package/next,2022-01-12 09:28:52.651,9985.0,7264541.0,7264541.0,,,,True,1,,https://nextjs.org/showcase,-1.0,,,,,,,,,,,,,,,,,,,,,,,
3,Ant Design,ant-design/ant-design,antd,ui-frameworks,org.webjars.npm:antd,https://github.com/ant-design/ant-design,https://github.com/ant-design/ant-design,MIT,2015-04-24 15:37:24.000,2022-01-13 15:40:41.000,2022-01-13 12:32:09.000,21465.0,263.0,32060,154.0,10100.0,777.0,22163.0,77011,2022-01-10 10:59:48.000,4.18.3,628.0,An enterprise-class UI design language and React UI library.,299329.0,278494.0,1758.0,49,https://www.npmjs.com/package/antd,2022-01-10 10:59:22.520,20835.0,2785840.0,2785840.0,https://search.maven.org/artifact/org.webjars.npm/antd,2021-11-07 11:20:14.000,,True,1,['ant-design'],,,,,,,,,,,,,,,,,,,,,,,,,
4,Gatsby,gatsbyjs/gatsby,gatsby,cms-frameworks,,https://github.com/gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby,MIT,2015-05-21 22:43:05.000,2022-01-13 15:14:38.000,2022-01-13 15:12:33.000,19688.0,430.0,10086,851.0,19425.0,373.0,13039.0,52153,2022-01-12 14:15:30.586,4.5.2,2403.0,"Build blazing fast, modern apps and websites with React.",412047.0,397869.0,4154.0,49,https://www.npmjs.com/package/gatsby,2022-01-13 10:46:03.547,14178.0,1384406.0,1384406.0,,,,True,2,,https://www.gatsbyjs.com/showcase/,1.0,,,,,,,,,,,,,,,,,,,,,,,
5,axios,axios/axios,axios,utils,,https://github.com/axios/axios,https://github.com/axios/axios,MIT,2014-08-18 22:30:27.000,2022-01-13 09:46:06.000,2022-01-13 05:56:28.000,1070.0,26.0,9095,1221.0,954.0,290.0,3200.0,90408,2021-10-25 17:51:25.987,0.24.0,52.0,Promise based HTTP client for the browser and node.js.,5874670.0,5549450.0,320.0,48,https://www.npmjs.com/package/axios,2021-10-25 17:51:25.987,325220.0,78751026.0,78751026.0,,,,True,1,,,,axios.js,,,,,,,,,,,,,,,,,,,,,,
6,three.js,mrdoob/three.js,three,data-viz,org.webjars.npm:three,https://github.com/mrdoob/three.js,https://github.com/mrdoob/three.js,MIT,2010-03-23 18:58:01.000,2022-01-13 16:08:44.000,2022-01-13 16:08:44.000,39468.0,1238.0,30170,2542.0,12228.0,475.0,10526.0,77725,2021-12-24 17:11:38.000,r136,237.0,JavaScript 3D Library.,7996.0,,1908.0,48,https://www.npmjs.com/package/three,2013-04-17 19:15:32.096,7991.0,1536701.0,1536701.0,https://search.maven.org/artifact/org.webjars.npm/three,2021-12-03 01:56:32.000,5.0,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Storybook,storybookjs/storybook,@storybook/react,dev-tools,,https://github.com/storybookjs/storybook,https://github.com/storybookjs/storybook,MIT,2016-03-18 04:23:44.000,2022-01-13 15:12:44.000,2022-01-13 15:11:03.000,38091.0,1311.0,6991,925.0,7864.0,1630.0,7036.0,68039,2022-01-11 16:26:32.000,6.4.12,974.0,"The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!.",38265.0,15980.0,1671.0,48,https://www.npmjs.com/package/@storybook/react,2022-01-13 11:54:22.019,22285.0,8190503.0,8190503.0,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,
8,jest,facebook/jest,jest,testing,,https://github.com/facebook/jest,https://github.com/facebook/jest,MIT,2013-12-10 00:18:04.000,2022-01-13 07:01:47.000,2022-01-06 16:25:45.000,5766.0,127.0,5551,548.0,5543.0,1690.0,5111.0,37610,2022-01-05 13:06:35.000,27.4.7,290.0,Delightful JavaScript Testing.,4791402.0,4371974.0,1386.0,48,https://www.npmjs.com/package/jest,2022-01-05 13:05:50.479,419428.0,50710944.0,50710944.0,,,,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Chart.js,chartjs/Chart.js,chart.js,data-viz,org.webjars.npm:chart.js,https://github.com/chartjs/Chart.js,https://github.com/chartjs/Chart.js,MIT,2013-03-17 23:56:36.000,2022-01-12 12:42:49.000,2022-01-11 20:57:35.000,4136.0,64.0,11331,1401.0,3330.0,112.0,6182.0,55844,2021-12-31 07:33:24.000,3.7.0,85.0,Simple HTML5 Charts using the canvas tag.,488446.0,466314.0,422.0,47,https://www.npmjs.com/package/chart.js,2021-12-23 19:08:41.862,22107.0,6192981.0,6246418.0,https://search.maven.org/artifact/org.webjars.npm/chart.js,2021-12-31 07:33:24.000,23.0,True,1,,,,,XStatic-Chart.js,4862498.0,https://pypi.org/project/XStatic-Chart.js,2015-11-26 11:12:27.000,2.0,3.0,,,,,,,,,,,,,,,,
